職稱,黨籍,姓名,英文名,區別,郵遞區號,服務處地址,服務處電話,傳真電話
議長,民主進步黨,邱莉莉,"Chiu, Li-Li",北區、中西區,70055,臺南市中西區尊王路95號,06-2292666,06-2248078
副議長,民主進步黨,林志展,"Lin, Chih-Chan",善化區、安定區、新市區、山上區、新化區,74151,臺南市善化區中山路266號,06-5858688,06-5858988
議員,中國國民黨,蔡育輝,"Thai, Yu-Hui",後壁區、白河區、東山區、鹽水區、新營區、柳營區,73045,臺南市新營區三民路39-2號,06-6379912,06-6377905
議員,無黨籍,趙昆原,"Chao, Kun-Yuan",後壁區、白河區、東山區、鹽水區、新營區、柳營區,73047,臺南市新營區民治路78號,06-6561111,06-6570002
議員,民主進步黨,王宣貿,"Wang, Hsuan-Mao",後壁區、白河區、東山區、鹽水區、新營區、柳營區,73061,臺南市新營區新進路2段300號,06-6572566,06-6572199
議員,無黨籍,張世賢,"Chang, Shih-Hsien",後壁區、白河區、東山區、鹽水區、新營區、柳營區,73242,臺南市白河區國光路46號,06-6856956,06-6856957
議員,民主進步黨,李宗翰,"Lee, Tsung-Han",後壁區、白河區、東山區、鹽水區、新營區、柳營區,73149,臺南市後壁區頂安里頂寮197號之1,06-6361666,06-6330752
議員,民主進步黨,沈家鳳,"Shen, Chia-Feng",後壁區、白河區、東山區、鹽水區、新營區、柳營區,730005,臺南市新營區中興路17號,06-6350688,06-6350966
議員,中國國民黨,方一峰,"Fang, I-Feng",北門區、學甲區、將軍區、七股區、佳里區、西港區,72243,臺南市佳里區光復路348號,06-7224729,06-7236610
議員,民主進步黨,蔡蘇秋金,"Tsai Su, Chiu-Chin",北門區、學甲區、將軍區、七股區、佳里區、西港區,72253,臺南市佳里區文化路132號,06-7238123,06-7236555
議員,民主進步黨,謝舒凡,"Hsieh, Shu-Fan",北門區、學甲區、將軍區、七股區、佳里區、西港區,726001,台南市學甲區新生路55號,06-7823858,06-7823818
議員,無黨籍,陳昆和,"Chen, Kun-Ho",北門區、學甲區、將軍區、七股區、佳里區、西港區,72258,臺南市佳里區安北路66號,06-7228288,06-7226272
議員,民主進步黨,蔡秋蘭,"Tsai,Chiu-Lan",北門區、學甲區、將軍區、七股區、佳里區、西港區,72243,臺南市佳里區成功路87號,06-7220190,06-7215151
議員,民主進步黨,陳秋宏,"Chen,Chiu-Hung",下營區、六甲區、麻豆區、官田區、大內區,73546,臺南市下營區中山路1段366號,06-6891479,06-6791727
議員,中國國民黨,尤榮智,"Yu, Rong-Chih",下營區、六甲區、麻豆區、官田區、大內區,73443,臺南市六甲區中山路341號,06-6988138,06-6987103
議員,民主進步黨,吳通龍,"Wu, Tung-Lung",下營區、六甲區、麻豆區、官田區、大內區,73444,臺南市六甲區中山路636號,06-6983838,06-6983848
議員,無黨團結聯盟,周奕齊,"Chou, I-Chi",楠西區、南化區、玉井區、左鎮區,714003,臺南市玉井區大成路147號,06-5746066,06-5745026
議員,無黨籍,李文俊,"Lee,Wen-Chun",善化區、安定區、新市區、山上區、新化區,74160,臺南市善化區興華路229號,06-5839286,06-5839256
議員,民主進步黨,余柷青,"Yu, Chu-Ching",善化區、安定區、新市區、山上區、新化區,71242,臺南市新化區信義路462號,06-5984288,06-5989026
議員,民主進步黨,李偉智,"Lee, Wei-Chih",善化區、安定區、新市區、山上區、新化區,71243,臺南市新化區民權街58號,06-5906999,06-5909777
議員,民主進步黨,陳碧玉,"Chen, Pi-Yu",善化區、安定區、新市區、山上區、新化區,74448,臺南市新市區和平街128號,06-5994708,06-5011907
議員,無黨籍,郭信良,"Kuo, Hsin-Liang",安南區,70948,臺南市安南區安明路4段303之5號,06-2570521,06-2570633
議員,民主進步黨,郭清華,"Kuo,Ching-Hua",安南區,70951,臺南市安南區海佃路1段376號,06-3584055,06-3507881
議員,中國國民黨,李中岑,"Lee, Chung-Tsen",安南區,70966,臺南市安南區海佃路2段690號,06-2455199,06-2452766
議員,民主進步黨,蔡麗青,"Tsai, Li-Ching",安南區,709031,臺南市安南區青砂街1段66號,06-2457869,06-2474594
議員,無黨籍,邱昭勝,"Chiu, Chao-Sheng",安南區,70959,臺南市安南區長和路3段185號,06-3570878,06-3559895
議員,無黨籍,黃麗招,"Huang, Li-Chao",安南區,70960,臺南市安南區安中路3段212號,06-2468772,06-2468590
議員,中國國民黨,林燕祝,"Lin, Yen-Chu",永康區,71076,臺南市永康區永大路3段379號,06-2016689,06-2035889
議員,無黨團結聯盟,林冠維,"Lin, Kuan-Wei",永康區,71059,臺南市永康區富強路2段19巷24號,06-2738805,06-2728765
議員,民主進步黨,朱正軒,"Chu, Cheng-Hsuan",永康區,71088,臺南市永康區中山南路473號,06-2339399,06-2339441
議員,無黨籍,李鎮國,"Lee, Chen-Kuo",永康區,71051,臺南市永康區復興路216巷13號,06-3121299,06-3126606
議員,民主進步黨,陳秋萍,"Chen, Chiu-Ping",永康區,710056,臺南市永康區中山路162號,06-2335128,06-2016762
議員,民主進步黨,黄肇輝,"Huang, Chao-Hui",永康區,71087,臺南市永康區永大路2段91號,06-2058355,06-2058910
議員,台灣團結聯盟,楊中成,"Yang, Chung-Chen",永康區,710008,臺南市永康區大灣三街97號,06-2053510,06-2735456
議員,民主進步黨,陳怡珍,"Chen, Yi-Chen",北區、中西區,70451,臺南市北區海安路3段963號,06-2803906,06-3586489
議員,民主進步黨,沈震東,"Shen, Chen-Tung",北區、中西區,70453,臺南市北區和緯路2段149號,06-2512039,06-2512939
議員,中國國民黨,蔡宗豪,"Tsai, Tsung-Hao",北區、中西區,70045,臺南市中西區府前路1段415號,06-2140226,06-2140126
議員,中國國民黨,許至椿,"Hsu, Chih-Tsun",北區、中西區,70449,臺南市北區北門路2段573號,06-2832530,06-2817712
議員,民主進步黨,周嘉韋,"Chou,Chia-Wei",北區、中西區,70060,臺南市中西區臨安路1段242號,06-2211285,06-2217538
議員,中國國民黨,林美燕,"Lin, Mei-Yen",安平區、南區,70256,臺南市南區國民路189號,06-2881698,06-2881697
議員,民主進步黨,林依婷,"Lin, I-Ting",安平區、南區,708008,臺南市安平區永華路2段752號,06-2636000,06-2630114
議員,中國國民黨,蔡淑惠,"Tsai, Shu-Hui",安平區、南區,70247,臺南市南區夏林路248號,06-2644117,06-2917721
議員,中國國民黨,盧崑福,"Lu, Kun-Fu",安平區、南區,70848,臺南市安平區永華路2段850號,06-2977187,06-2977587
議員,民主進步黨,李啓維,"Lee, Chi-Wei",安平區、南區,70843,臺南市安平區育平路501號,06-2997599,06-2982788
議員,民主進步黨,周麗津,"Chou, Li-Chin",安平區、南區,70251,臺南市南區金華路1段468號,06-2638598,06-2632901
議員,中國國民黨,曾培雅,"Tseng, Pei-Ya",東區,70156,臺南市東區崇學路111號,06-2897419,06-2696057
議員,無黨籍,曾之婕,"Tseng,Chih-Chieh",東區,70174,臺南市東區文化六街1號,06-2672338,06-2672330
議員,中國國民黨,王家貞,"Wang, Chia-Chen",東區,70173,臺南市東區崇善路192號1樓,06-2906669,06-2686518
議員,民主進步黨,蔡筱薇,"Tsai, Hsiao-Wei",東區,701024,臺南市東區裕農路315號,06-2091120,06-2091150
議員,基進黨,李宗霖,"Li, Tsung-Lin",東區,701029,臺南市東區崇善路469號,06-2002340,06-2002310
議員,無黨團結聯盟,杜素吟,"Tu, Su-Ying",仁德區、歸仁區、關廟區、龍崎區,71745,臺南市仁德區上崙里上崙街352號,06-2664080,06-2660770
議員,無黨籍,吳禹寰,"Wu,Yu-Huan",仁德區、歸仁區、關廟區、龍崎區,71751,臺南市仁德區保華路42-1號,06-2890891,06-2697707
議員,民主進步黨,郭鴻儀,"Kuo, Hung-Yi",仁德區、歸仁區、關廟區、龍崎區,717013,臺南市仁德區正義三街88號,06-2796111,06-2792123
議員,民主進步黨,鄭佳欣,"Cheng, Chia-Hsin",仁德區、歸仁區、關廟區、龍崎區,711006,臺南市歸仁區大吉街1號,06-2305818,06-2306158
議員,民主進步黨,陳皇宇,"Chen, Huang-Yu",仁德區、歸仁區、關廟區、龍崎區,71844,臺南市關廟區南雄路1段1092號,06-5966866,06-5966566
議員,無黨籍,Ingay Tali 穎艾達利,Ingay Tali ,平地原住民區,70449,臺南市北區北門路2段547巷40號,06-2825318,06-2521114
議員,無黨籍,Tjakumay Tagaw 施余興望,Tjakumay Tagaw  ,山地原住民區,71076,臺南市永康區龍埔街430巷35弄2號,06-2319580,06-2319661
